entity,export_id,close_period,source_system,prepared_by,control_status,txn_id,date,account,description,amount,currency,category,vendor_id,vendor_name,department,memo
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00001,2026-04-01,6000 Payroll,Northwind Robotics payroll run,-535600,USD,payroll,,,People,Payroll provider summary import
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00002,2026-04-28,4000 Revenue,Northwind Robotics recurring revenue,388000,USD,revenue,,,Revenue,Monthly recurring revenue close entry
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00003,2026-04-06,6500 Software,FleetPulse Telemetry April services,-16000,USD,fleet ops,fleetpulse,FleetPulse Telemetry,Platform,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00004,2026-04-09,6510 Infrastructure,NorthRelay Cloud April services,-4000,USD,infrastructure,northrelay,NorthRelay Cloud,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00005,2026-04-12,6520 Data,MotionGrid Observability April services,-4900,USD,monitoring,motiongrid,MotionGrid Observability,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00006,2026-04-15,6530 Security,Armature Lab Systems April services,-4600,USD,hardware,armature,Armature Lab Systems,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00007,2026-04-18,6600 Recruiting,PickPath Warehouse AI April services,-5400,USD,warehouse,pickpath,PickPath Warehouse AI,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00008,2026-04-21,7100 Operations,VectorNest Data Store April services,-6300,USD,data,vectornest,VectorNest Data Store,Data,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00009,2026-04-24,7200 Professional Services,OrbitDesk CRM April services,-24900,USD,sales,orbitdesk,OrbitDesk CRM,People,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00010,2026-04-02,6500 Software,TrustLoom Security April services,-8200,USD,security,trustloom,TrustLoom Security,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00011,2026-04-05,6510 Infrastructure,DockPilot Integration April services,-9300,USD,integration,dockpilot,DockPilot Integration,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00012,2026-04-08,6520 Data,GearForge Parts April services,-32900,USD,materials,gearforge,GearForge Parts,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00013,2026-04-11,6530 Security,RouteWell Field Ops April services,-9000,USD,field ops,routewell,RouteWell Field Ops,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00014,2026-04-14,6600 Recruiting,SafetyRail Compliance April services,-10000,USD,compliance,safetyrail,SafetyRail Compliance,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00015,2026-04-17,7100 Operations,BrightBay Recruiting April services,-33200,USD,recruiting,brightbay,BrightBay Recruiting,Data,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00016,2026-04-20,7200 Professional Services,CopperKite Consulting April services,-12200,USD,advisory,copperkite,CopperKite Consulting,People,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00017,2026-04-23,6500 Software,SignalCrate Analytics April services,-13400,USD,analytics,signalcrate,SignalCrate Analytics,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00018,2026-04-26,6510 Infrastructure,FulfillWise EDI April services,-14600,USD,operations,fulfillwise,FulfillWise EDI,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00019,2026-04-04,6520 Data,MapleBench QA April services,-15900,USD,quality,maplebench,MapleBench QA,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00020,2026-04-07,6530 Security,PalletPath Support April services,-13400,USD,support,palletpath,PalletPath Support,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00021,2026-04-10,6600 Recruiting,ClearSprocket Finance April services,-40700,USD,finance ops,clearsprocket,ClearSprocket Finance,Revenue,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-04,2026-04,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00022,2026-04-13,7100 Operations,Calibria Model Lab April services,-15900,USD,ml tooling,calibria,Calibria Model Lab,Data,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00023,2026-05-01,6000 Payroll,Northwind Robotics payroll run,-590000,USD,payroll,,,People,Payroll provider summary import
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00024,2026-05-28,4000 Revenue,Northwind Robotics recurring revenue,435400,USD,revenue,,,Revenue,Monthly recurring revenue close entry
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00025,2026-05-07,6500 Software,FleetPulse Telemetry May services,-16500,USD,fleet ops,fleetpulse,FleetPulse Telemetry,Platform,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00026,2026-05-10,6510 Infrastructure,NorthRelay Cloud May services,-4100,USD,infrastructure,northrelay,NorthRelay Cloud,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00027,2026-05-13,6520 Data,MotionGrid Observability May services,-3900,USD,monitoring,motiongrid,MotionGrid Observability,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00028,2026-05-16,6530 Security,Armature Lab Systems May services,-4700,USD,hardware,armature,Armature Lab Systems,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00029,2026-05-19,6600 Recruiting,PickPath Warehouse AI May services,-5600,USD,warehouse,pickpath,PickPath Warehouse AI,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00030,2026-05-22,7100 Operations,VectorNest Data Store May services,-6500,USD,data,vectornest,VectorNest Data Store,Data,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00031,2026-05-25,7200 Professional Services,OrbitDesk CRM May services,-25800,USD,sales,orbitdesk,OrbitDesk CRM,People,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00032,2026-05-03,6500 Software,TrustLoom Security May services,-8500,USD,security,trustloom,TrustLoom Security,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00033,2026-05-06,6510 Infrastructure,DockPilot Integration May services,-9600,USD,integration,dockpilot,DockPilot Integration,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00034,2026-05-09,6520 Data,GearForge Parts May services,-26400,USD,materials,gearforge,GearForge Parts,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00035,2026-05-12,6530 Security,RouteWell Field Ops May services,-9300,USD,field ops,routewell,RouteWell Field Ops,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00036,2026-05-15,6600 Recruiting,SafetyRail Compliance May services,-10400,USD,compliance,safetyrail,SafetyRail Compliance,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00037,2026-05-18,7100 Operations,BrightBay Recruiting May services,-34400,USD,recruiting,brightbay,BrightBay Recruiting,Data,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00038,2026-05-21,7200 Professional Services,CopperKite Consulting May services,-12700,USD,advisory,copperkite,CopperKite Consulting,People,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00039,2026-05-24,6500 Software,SignalCrate Analytics May services,-13900,USD,analytics,signalcrate,SignalCrate Analytics,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00040,2026-05-02,6510 Infrastructure,FulfillWise EDI May services,-15100,USD,operations,fulfillwise,FulfillWise EDI,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00041,2026-05-05,6520 Data,MapleBench QA May services,-12800,USD,quality,maplebench,MapleBench QA,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00042,2026-05-08,6530 Security,PalletPath Support May services,-13900,USD,support,palletpath,PalletPath Support,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00043,2026-05-11,6600 Recruiting,ClearSprocket Finance May services,-42300,USD,finance ops,clearsprocket,ClearSprocket Finance,Revenue,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-05,2026-05,CloudLedger GL Detail,Finance Operations,Closed,NR-GL-00044,2026-05-14,7100 Operations,Calibria Model Lab May services,-16500,USD,ml tooling,calibria,Calibria Model Lab,Data,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00045,2026-06-01,6000 Payroll,Northwind Robotics payroll run,-646900,USD,payroll,,,People,Payroll provider summary import
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00046,2026-06-28,4000 Revenue,Northwind Robotics recurring revenue,485100,USD,revenue,,,Revenue,Monthly recurring revenue close entry
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00047,2026-06-08,6500 Software,FleetPulse Telemetry June services,-17100,USD,fleet ops,fleetpulse,FleetPulse Telemetry,Platform,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00048,2026-06-11,6510 Infrastructure,NorthRelay Cloud June services,-3300,USD,infrastructure,northrelay,NorthRelay Cloud,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00049,2026-06-14,6520 Data,MotionGrid Observability June services,-4100,USD,monitoring,motiongrid,MotionGrid Observability,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00050,2026-06-17,6530 Security,Armature Lab Systems June services,-4900,USD,hardware,armature,Armature Lab Systems,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00051,2026-06-20,6600 Recruiting,PickPath Warehouse AI June services,-5800,USD,warehouse,pickpath,PickPath Warehouse AI,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00052,2026-06-23,7100 Operations,VectorNest Data Store June services,-6800,USD,data,vectornest,VectorNest Data Store,Data,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00053,2026-06-26,7200 Professional Services,OrbitDesk CRM June services,-26700,USD,sales,orbitdesk,OrbitDesk CRM,People,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00054,2026-06-04,6500 Software,TrustLoom Security June services,-8800,USD,security,trustloom,TrustLoom Security,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00055,2026-06-07,6510 Infrastructure,DockPilot Integration June services,-7700,USD,integration,dockpilot,DockPilot Integration,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00056,2026-06-10,6520 Data,GearForge Parts June services,-27500,USD,materials,gearforge,GearForge Parts,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00057,2026-06-13,6530 Security,RouteWell Field Ops June services,-9700,USD,field ops,routewell,RouteWell Field Ops,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00058,2026-06-16,6600 Recruiting,SafetyRail Compliance June services,-10800,USD,compliance,safetyrail,SafetyRail Compliance,Revenue,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00059,2026-06-19,7100 Operations,BrightBay Recruiting June services,-35700,USD,recruiting,brightbay,BrightBay Recruiting,Data,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00060,2026-06-22,7200 Professional Services,CopperKite Consulting June services,-13100,USD,advisory,copperkite,CopperKite Consulting,People,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00061,2026-06-25,6500 Software,SignalCrate Analytics June services,-14300,USD,analytics,signalcrate,SignalCrate Analytics,Platform,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00062,2026-06-03,6510 Infrastructure,FulfillWise EDI June services,-12100,USD,operations,fulfillwise,FulfillWise EDI,Finance Ops,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00063,2026-06-06,6520 Data,MapleBench QA June services,-13300,USD,quality,maplebench,MapleBench QA,Security,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00064,2026-06-09,6530 Security,PalletPath Support June services,-14500,USD,support,palletpath,PalletPath Support,Operations,Monthly vendor bill
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00065,2026-06-12,6600 Recruiting,ClearSprocket Finance June services,-43900,USD,finance ops,clearsprocket,ClearSprocket Finance,Revenue,Usage true-up posted from vendor portal
Northwind Robotics,NR-CLOUDLEDGER-GL-2026-06,2026-06,CloudLedger GL Detail,Finance Operations,Controller reviewed,NR-GL-00066,2026-06-15,7100 Operations,Calibria Model Lab June services,-17100,USD,ml tooling,calibria,Calibria Model Lab,Data,Monthly vendor bill
