entity,export_id,ap_batch,source_system,approval_route,invoice_id,vendor_id,vendor_name,issue_date,due_date,amount,currency,status,period,po_number,cost_center,aging_bucket
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Controller desk,NR-INV-00001,fleetpulse,FleetPulse Telemetry,2026-04-07,2026-05-07,24800,USD,paid,2026-04,,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00002,northrelay,NorthRelay Cloud,2026-04-09,2026-05-09,4000,USD,paid,2026-04,NR-PO-08001,GTM,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Controller desk,NR-INV-00003,armature,Armature Lab Systems,2026-04-13,2026-05-13,4600,USD,paid,2026-04,NR-PO-08003,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00004,pickpath,PickPath Warehouse AI,2026-04-15,2026-05-15,6600,USD,paid,2026-04,,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,CFO desk,NR-INV-00005,vectornest,VectorNest Data Store,2026-04-17,2026-05-17,6300,USD,paid,2026-04,NR-PO-08005,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Controller desk,NR-INV-00006,orbitdesk,OrbitDesk CRM,2026-04-19,2026-05-19,38600,USD,paid,2026-04,NR-PO-08006,GTM,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,CFO desk,NR-INV-00007,dockpilot,DockPilot Integration,2026-04-23,2026-05-23,11300,USD,paid,2026-04,,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Controller desk,NR-INV-00008,gearforge,GearForge Parts,2026-04-25,2026-05-25,32900,USD,paid,2026-04,NR-PO-08009,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00009,routewell,RouteWell Field Ops,2026-04-03,2026-05-03,9000,USD,paid,2026-04,NR-PO-08010,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,CFO desk,NR-INV-00010,safetyrail,SafetyRail Compliance,2026-04-05,2026-05-05,10000,USD,paid,2026-04,NR-PO-08011,GTM,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00011,copperkite,CopperKite Consulting,2026-04-09,2026-05-09,12200,USD,paid,2026-04,NR-PO-08013,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,CFO desk,NR-INV-00012,signalcrate,SignalCrate Analytics,2026-04-11,2026-05-11,7400,USD,paid,2026-04,NR-PO-08014,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Controller desk,NR-INV-00013,fulfillwise,FulfillWise EDI,2026-04-13,2026-05-13,14600,USD,paid,2026-04,NR-PO-08015,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00014,maplebench,MapleBench QA,2026-04-15,2026-05-15,19400,USD,paid,2026-04,,GTM,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Controller desk,NR-INV-00015,clearsprocket,ClearSprocket Finance,2026-04-19,2026-05-19,63100,USD,paid,2026-04,NR-PO-08018,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00016,calibria,Calibria Model Lab,2026-04-21,2026-05-21,15900,USD,paid,2026-04,NR-PO-08019,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00017,nr-misc-4-0,Cedar Ridge Advisory,2026-04-12,2026-05-12,7400,USD,paid,2026-04,,OPS,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00018,nr-misc-4-1,Pine Lantern Systems,2026-04-16,2026-05-16,9800,USD,paid,2026-04,,GTM,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-04,AP-NR-2026-04,PayablesDesk AP Aging Export,Department owner,NR-INV-00019,nr-misc-4-2,Blue Mesa Services,2026-04-20,2026-05-20,12200,USD,paid,2026-04,,FIN,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Controller desk,NR-INV-00020,fleetpulse,FleetPulse Telemetry,2026-05-08,2026-06-08,25600,USD,paid,2026-05,,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,CFO desk,NR-INV-00021,motiongrid,MotionGrid Observability,2026-05-12,2026-06-12,3900,USD,paid,2026-05,NR-PO-08002,OPS,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Controller desk,NR-INV-00022,armature,Armature Lab Systems,2026-05-14,2026-06-14,4700,USD,paid,2026-05,NR-PO-08003,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00023,pickpath,PickPath Warehouse AI,2026-05-16,2026-06-16,6900,USD,paid,2026-05,,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,CFO desk,NR-INV-00024,vectornest,VectorNest Data Store,2026-05-18,2026-06-18,6500,USD,paid,2026-05,NR-PO-08005,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00025,trustloom,TrustLoom Security,2026-05-22,2026-06-22,4700,USD,paid,2026-05,NR-PO-08007,OPS,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,CFO desk,NR-INV-00026,dockpilot,DockPilot Integration,2026-05-24,2026-06-24,11700,USD,paid,2026-05,,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Controller desk,NR-INV-00027,gearforge,GearForge Parts,2026-05-26,2026-06-26,26400,USD,paid,2026-05,NR-PO-08009,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00028,routewell,RouteWell Field Ops,2026-05-04,2026-06-04,9300,USD,paid,2026-05,NR-PO-08010,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Controller desk,NR-INV-00029,brightbay,BrightBay Recruiting,2026-05-08,2026-06-08,53300,USD,paid,2026-05,,OPS,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00030,copperkite,CopperKite Consulting,2026-05-10,2026-06-10,12700,USD,paid,2026-05,NR-PO-08013,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,CFO desk,NR-INV-00031,signalcrate,SignalCrate Analytics,2026-05-12,2026-06-12,7600,USD,paid,2026-05,NR-PO-08014,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Controller desk,NR-INV-00032,fulfillwise,FulfillWise EDI,2026-05-14,2026-06-14,15100,USD,paid,2026-05,NR-PO-08015,ENG,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,CFO desk,NR-INV-00033,palletpath,PalletPath Support,2026-05-18,2026-06-18,13900,USD,paid,2026-05,NR-PO-08017,OPS,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Controller desk,NR-INV-00034,clearsprocket,ClearSprocket Finance,2026-05-20,2026-06-20,65600,USD,paid,2026-05,NR-PO-08018,SEC,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00035,calibria,Calibria Model Lab,2026-05-22,2026-06-22,16500,USD,paid,2026-05,NR-PO-08019,FIN,current
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00036,nr-misc-5-0,Cedar Ridge Advisory,2026-05-12,2026-06-12,8300,USD,paid,2026-05,,OPS,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00037,nr-misc-5-1,Pine Lantern Systems,2026-05-16,2026-06-16,10700,USD,paid,2026-05,,GTM,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-05,AP-NR-2026-05,PayablesDesk AP Aging Export,Department owner,NR-INV-00038,nr-misc-5-2,Blue Mesa Services,2026-05-20,2026-06-20,13100,USD,paid,2026-05,,FIN,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00039,northrelay,NorthRelay Cloud,2026-06-11,2026-07-11,3300,USD,approved,2026-06,NR-PO-08001,GTM,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,CFO desk,NR-INV-00040,motiongrid,MotionGrid Observability,2026-06-13,2026-07-13,4100,USD,approved,2026-06,NR-PO-08002,OPS,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Controller desk,NR-INV-00041,armature,Armature Lab Systems,2026-06-15,2026-07-15,4900,USD,open,2026-06,NR-PO-08003,SEC,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00042,pickpath,PickPath Warehouse AI,2026-06-17,2026-07-17,7100,USD,approved,2026-06,,FIN,31-60
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Controller desk,NR-INV-00043,orbitdesk,OrbitDesk CRM,2026-06-21,2026-07-21,41500,USD,open,2026-06,NR-PO-08006,GTM,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00044,trustloom,TrustLoom Security,2026-06-23,2026-07-23,4900,USD,approved,2026-06,NR-PO-08007,OPS,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,CFO desk,NR-INV-00045,dockpilot,DockPilot Integration,2026-06-25,2026-07-25,9400,USD,approved,2026-06,,SEC,31-60
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Controller desk,NR-INV-00046,gearforge,GearForge Parts,2026-06-03,2026-07-03,27500,USD,open,2026-06,NR-PO-08009,FIN,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,CFO desk,NR-INV-00047,safetyrail,SafetyRail Compliance,2026-06-07,2026-07-07,10800,USD,approved,2026-06,NR-PO-08011,GTM,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Controller desk,NR-INV-00048,brightbay,BrightBay Recruiting,2026-06-09,2026-07-09,55300,USD,open,2026-06,,OPS,31-60
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00049,copperkite,CopperKite Consulting,2026-06-11,2026-07-11,13100,USD,approved,2026-06,NR-PO-08013,SEC,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,CFO desk,NR-INV-00050,signalcrate,SignalCrate Analytics,2026-06-13,2026-07-13,7900,USD,approved,2026-06,NR-PO-08014,FIN,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00051,maplebench,MapleBench QA,2026-06-17,2026-07-17,16200,USD,approved,2026-06,,GTM,31-60
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,CFO desk,NR-INV-00052,palletpath,PalletPath Support,2026-06-19,2026-07-19,14500,USD,approved,2026-06,NR-PO-08017,OPS,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Controller desk,NR-INV-00053,clearsprocket,ClearSprocket Finance,2026-06-21,2026-07-21,68100,USD,open,2026-06,NR-PO-08018,SEC,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00054,calibria,Calibria Model Lab,2026-06-23,2026-07-23,17100,USD,approved,2026-06,NR-PO-08019,FIN,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00055,nr-misc-6-0,Cedar Ridge Advisory,2026-06-12,2026-07-12,9200,USD,open,2026-06,,OPS,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00056,nr-misc-6-1,Pine Lantern Systems,2026-06-16,2026-07-16,11600,USD,open,2026-06,,GTM,0-30
Northwind Robotics,NR-PAYABLESDESK-AP-2026-06,AP-NR-2026-06,PayablesDesk AP Aging Export,Department owner,NR-INV-00057,nr-misc-6-2,Blue Mesa Services,2026-06-20,2026-07-20,14000,USD,open,2026-06,,FIN,0-30
